"number_past_order","time_web","voucher","past_spend","ad_channel","revenue","ad_channel_label","voucher_label"
1,117,"0",8,"1",54,"No Advertisement","No Voucher"
1,141,"0",22,"1",51,"No Advertisement","No Voucher"
0,91,"1",0,"4",47,"Online Display Ads","Voucher Applied"
1,135,"0",5,"2",53,"Paid Search","No Voucher"
1,87,"0",19,"2",58,"Paid Search","No Voucher"
1,103,"0",18,"4",45,"Online Display Ads","No Voucher"
0,156,"0",0,"1",71,"No Advertisement","No Voucher"
1,136,"0",20,"2",67,"Paid Search","No Voucher"
1,126,"0",9,"1",39,"No Advertisement","No Voucher"
1,102,"0",1,"1",53,"No Advertisement","No Voucher"
2,146,"0",20,"1",51,"No Advertisement","No Voucher"
1,149,"0",6,"1",67,"No Advertisement","No Voucher"
1,112,"0",29,"4",65,"Online Display Ads","No Voucher"
1,145,"1",6,"1",63,"No Advertisement","Voucher Applied"
1,128,"0",8,"1",55,"No Advertisement","No Voucher"
1,140,"1",8,"2",58,"Paid Search","Voucher Applied"
1,114,"0",15,"4",40,"Online Display Ads","No Voucher"
0,147,"0",0,"1",73,"No Advertisement","No Voucher"
1,152,"0",9,"4",60,"Online Display Ads","No Voucher"
0,150,"0",0,"2",77,"Paid Search","No Voucher"
1,92,"0",10,"4",46,"Online Display Ads","No Voucher"
1,150,"0",33,"3",84,"SEO (Organic)","No Voucher"
1,130,"1",3,"3",50,"SEO (Organic)","Voucher Applied"
0,129,"1",0,"1",61,"No Advertisement","Voucher Applied"
1,119,"0",1,"4",54,"Online Display Ads","No Voucher"
1,148,"1",17,"4",78,"Online Display Ads","Voucher Applied"
2,148,"0",40,"1",57,"No Advertisement","No Voucher"
0,119,"1",0,"3",53,"SEO (Organic)","Voucher Applied"
1,144,"0",18,"2",56,"Paid Search","No Voucher"
1,129,"0",9,"3",57,"SEO (Organic)","No Voucher"
2,149,"0",40,"1",51,"No Advertisement","No Voucher"
1,100,"0",18,"3",38,"SEO (Organic)","No Voucher"
0,142,"1",0,"1",68,"No Advertisement","Voucher Applied"
1,73,"0",18,"4",47,"Online Display Ads","No Voucher"
1,108,"0",14,"4",42,"Online Display Ads","No Voucher"
0,145,"0",0,"1",68,"No Advertisement","No Voucher"
1,118,"1",2,"4",53,"Online Display Ads","Voucher Applied"
0,40,"0",0,"4",35,"Online Display Ads","No Voucher"
1,139,"0",36,"1",46,"No Advertisement","No Voucher"
1,76,"0",19,"3",36,"SEO (Organic)","No Voucher"
1,110,"1",3,"2",51,"Paid Search","Voucher Applied"
0,66,"0",0,"1",38,"No Advertisement","No Voucher"
0,146,"0",0,"4",80,"Online Display Ads","No Voucher"
0,140,"0",0,"2",48,"Paid Search","No Voucher"
1,153,"0",5,"2",67,"Paid Search","No Voucher"
2,120,"0",14,"2",54,"Paid Search","No Voucher"
0,108,"0",0,"2",45,"Paid Search","No Voucher"
2,130,"0",8,"1",61,"No Advertisement","No Voucher"
1,100,"0",15,"1",34,"No Advertisement","No Voucher"
1,151,"1",26,"4",56,"Online Display Ads","Voucher Applied"
0,134,"0",0,"4",69,"Online Display Ads","No Voucher"
1,58,"0",19,"3",41,"SEO (Organic)","No Voucher"
1,136,"0",5,"1",59,"No Advertisement","No Voucher"
1,148,"0",3,"1",79,"No Advertisement","No Voucher"
0,124,"0",0,"3",55,"SEO (Organic)","No Voucher"
0,134,"0",0,"2",69,"Paid Search","No Voucher"
1,88,"0",11,"1",47,"No Advertisement","No Voucher"
1,134,"1",4,"2",53,"Paid Search","Voucher Applied"
0,130,"0",0,"1",55,"No Advertisement","No Voucher"
0,121,"0",0,"4",52,"Online Display Ads","No Voucher"
0,117,"0",0,"1",55,"No Advertisement","No Voucher"
0,105,"0",0,"3",53,"SEO (Organic)","No Voucher"
1,117,"0",3,"1",49,"No Advertisement","No Voucher"
1,136,"0",8,"1",57,"No Advertisement","No Voucher"
0,158,"0",0,"1",60,"No Advertisement","No Voucher"
0,81,"0",0,"1",40,"No Advertisement","No Voucher"
1,114,"1",18,"1",44,"No Advertisement","Voucher Applied"
0,115,"1",0,"3",66,"SEO (Organic)","Voucher Applied"
1,134,"0",7,"2",55,"Paid Search","No Voucher"
1,142,"1",20,"1",46,"No Advertisement","Voucher Applied"
0,162,"0",0,"2",95,"Paid Search","No Voucher"
1,144,"0",3,"1",65,"No Advertisement","No Voucher"
0,119,"0",0,"3",38,"SEO (Organic)","No Voucher"
0,84,"0",0,"1",48,"No Advertisement","No Voucher"
0,46,"1",0,"1",33,"No Advertisement","Voucher Applied"
2,102,"0",4,"1",51,"No Advertisement","No Voucher"
1,95,"0",14,"2",54,"Paid Search","No Voucher"
0,84,"0",0,"1",46,"No Advertisement","No Voucher"
1,94,"0",21,"2",37,"Paid Search","No Voucher"
1,143,"0",9,"1",58,"No Advertisement","No Voucher"
0,115,"0",0,"3",57,"SEO (Organic)","No Voucher"
1,143,"0",2,"2",65,"Paid Search","No Voucher"
3,125,"0",36,"1",54,"No Advertisement","No Voucher"
1,141,"0",9,"2",58,"Paid Search","No Voucher"
2,106,"1",18,"1",62,"No Advertisement","Voucher Applied"
2,132,"0",18,"2",63,"Paid Search","No Voucher"
1,125,"0",8,"2",58,"Paid Search","No Voucher"
1,130,"1",8,"2",48,"Paid Search","Voucher Applied"
1,156,"0",42,"4",85,"Online Display Ads","No Voucher"
0,132,"0",0,"1",47,"No Advertisement","No Voucher"
1,117,"0",16,"3",59,"SEO (Organic)","No Voucher"
1,139,"0",2,"4",61,"Online Display Ads","No Voucher"
0,117,"0",0,"1",55,"No Advertisement","No Voucher"
1,126,"0",21,"3",61,"SEO (Organic)","No Voucher"
1,128,"0",5,"3",57,"SEO (Organic)","No Voucher"
1,93,"0",27,"4",40,"Online Display Ads","No Voucher"
1,98,"0",14,"1",36,"No Advertisement","No Voucher"
1,130,"0",7,"4",57,"Online Display Ads","No Voucher"
0,161,"0",0,"2",76,"Paid Search","No Voucher"
1,157,"0",2,"2",67,"Paid Search","No Voucher"
0,131,"0",0,"1",64,"No Advertisement","No Voucher"
0,119,"0",0,"2",44,"Paid Search","No Voucher"
0,150,"0",0,"4",64,"Online Display Ads","No Voucher"
1,135,"0",21,"4",68,"Online Display Ads","No Voucher"
1,127,"0",24,"4",73,"Online Display Ads","No Voucher"
0,107,"0",0,"1",44,"No Advertisement","No Voucher"
2,101,"0",32,"3",38,"SEO (Organic)","No Voucher"
1,118,"0",7,"3",55,"SEO (Organic)","No Voucher"
1,119,"0",15,"2",65,"Paid Search","No Voucher"
1,156,"0",12,"1",73,"No Advertisement","No Voucher"
1,132,"0",3,"4",69,"Online Display Ads","No Voucher"
1,123,"0",18,"1",60,"No Advertisement","No Voucher"
0,124,"0",0,"3",41,"SEO (Organic)","No Voucher"
2,99,"0",12,"1",48,"No Advertisement","No Voucher"
1,116,"0",13,"1",48,"No Advertisement","No Voucher"
1,121,"0",8,"3",46,"SEO (Organic)","No Voucher"
1,144,"1",2,"1",72,"No Advertisement","Voucher Applied"
1,107,"0",17,"1",40,"No Advertisement","No Voucher"
1,143,"1",9,"2",68,"Paid Search","Voucher Applied"
1,119,"0",14,"3",61,"SEO (Organic)","No Voucher"
1,121,"0",28,"2",45,"Paid Search","No Voucher"
0,148,"0",0,"1",62,"No Advertisement","No Voucher"
0,70,"0",0,"1",57,"No Advertisement","No Voucher"
0,123,"0",0,"4",66,"Online Display Ads","No Voucher"
1,164,"0",28,"1",92,"No Advertisement","No Voucher"
1,97,"0",20,"1",47,"No Advertisement","No Voucher"
1,123,"0",7,"1",64,"No Advertisement","No Voucher"
0,136,"0",0,"2",59,"Paid Search","No Voucher"
2,96,"0",46,"2",56,"Paid Search","No Voucher"
1,98,"0",2,"1",53,"No Advertisement","No Voucher"
1,120,"0",26,"4",44,"Online Display Ads","No Voucher"
1,112,"0",9,"2",45,"Paid Search","No Voucher"
1,120,"0",3,"2",57,"Paid Search","No Voucher"
1,146,"0",18,"1",58,"No Advertisement","No Voucher"
0,105,"1",0,"1",31,"No Advertisement","Voucher Applied"
1,155,"0",33,"1",79,"No Advertisement","No Voucher"
2,150,"0",54,"2",71,"Paid Search","No Voucher"
0,147,"0",0,"4",64,"Online Display Ads","No Voucher"
0,98,"0",0,"3",44,"SEO (Organic)","No Voucher"
1,100,"0",22,"1",36,"No Advertisement","No Voucher"
0,123,"0",0,"4",54,"Online Display Ads","No Voucher"
0,137,"0",0,"4",55,"Online Display Ads","No Voucher"
0,159,"0",0,"4",71,"Online Display Ads","No Voucher"
1,117,"0",3,"3",58,"SEO (Organic)","No Voucher"
0,137,"0",0,"1",68,"No Advertisement","No Voucher"
1,119,"0",23,"1",65,"No Advertisement","No Voucher"
1,140,"0",1,"1",57,"No Advertisement","No Voucher"
0,175,"0",0,"1",82,"No Advertisement","No Voucher"
1,73,"0",15,"2",29,"Paid Search","No Voucher"
1,138,"0",7,"3",60,"SEO (Organic)","No Voucher"
1,159,"0",9,"3",72,"SEO (Organic)","No Voucher"
0,142,"0",0,"2",73,"Paid Search","No Voucher"
0,126,"0",0,"1",54,"No Advertisement","No Voucher"
1,63,"0",11,"3",45,"SEO (Organic)","No Voucher"
0,138,"0",0,"1",74,"No Advertisement","No Voucher"
1,136,"0",3,"3",59,"SEO (Organic)","No Voucher"
1,130,"1",5,"1",58,"No Advertisement","Voucher Applied"
0,99,"0",0,"3",55,"SEO (Organic)","No Voucher"
2,144,"0",48,"4",60,"Online Display Ads","No Voucher"
1,144,"0",10,"1",71,"No Advertisement","No Voucher"
1,137,"0",6,"1",61,"No Advertisement","No Voucher"
0,128,"0",0,"3",67,"SEO (Organic)","No Voucher"
1,134,"0",11,"1",55,"No Advertisement","No Voucher"
3,123,"0",9,"1",61,"No Advertisement","No Voucher"
1,130,"1",38,"4",82,"Online Display Ads","Voucher Applied"
0,150,"0",0,"2",57,"Paid Search","No Voucher"
2,100,"0",20,"4",55,"Online Display Ads","No Voucher"
2,117,"0",20,"4",45,"Online Display Ads","No Voucher"
0,117,"0",0,"2",45,"Paid Search","No Voucher"
3,136,"0",33,"1",57,"No Advertisement","No Voucher"
1,152,"1",5,"3",64,"SEO (Organic)","Voucher Applied"
1,106,"0",9,"3",51,"SEO (Organic)","No Voucher"
1,152,"0",18,"3",78,"SEO (Organic)","No Voucher"
1,152,"0",11,"1",64,"No Advertisement","No Voucher"
0,142,"1",0,"4",62,"Online Display Ads","Voucher Applied"
0,52,"0",0,"2",44,"Paid Search","No Voucher"
2,135,"0",42,"2",70,"Paid Search","No Voucher"
1,140,"0",11,"1",49,"No Advertisement","No Voucher"
1,128,"0",6,"1",59,"No Advertisement","No Voucher"
0,157,"0",0,"3",88,"SEO (Organic)","No Voucher"
1,98,"0",19,"1",30,"No Advertisement","No Voucher"
1,125,"0",23,"1",48,"No Advertisement","No Voucher"
1,145,"0",11,"2",58,"Paid Search","No Voucher"
0,123,"0",0,"4",48,"Online Display Ads","No Voucher"
1,142,"0",3,"1",62,"No Advertisement","No Voucher"
2,155,"0",10,"3",75,"SEO (Organic)","No Voucher"
1,129,"1",2,"2",58,"Paid Search","Voucher Applied"
2,81,"1",16,"2",36,"Paid Search","Voucher Applied"
1,106,"0",5,"1",51,"No Advertisement","No Voucher"
1,101,"0",12,"2",58,"Paid Search","No Voucher"
0,123,"0",0,"1",60,"No Advertisement","No Voucher"
1,75,"0",11,"1",27,"No Advertisement","No Voucher"
1,87,"0",20,"2",32,"Paid Search","No Voucher"
1,143,"1",3,"1",74,"No Advertisement","Voucher Applied"
0,100,"0",0,"1",53,"No Advertisement","No Voucher"
0,111,"0",0,"2",46,"Paid Search","No Voucher"
2,146,"0",4,"3",63,"SEO (Organic)","No Voucher"
1,145,"0",19,"1",71,"No Advertisement","No Voucher"
1,123,"0",16,"2",48,"Paid Search","No Voucher"
0,89,"0",0,"1",52,"No Advertisement","No Voucher"
0,97,"0",0,"1",28,"No Advertisement","No Voucher"
0,128,"0",0,"1",63,"No Advertisement","No Voucher"
1,108,"0",12,"4",58,"Online Display Ads","No Voucher"
0,122,"0",0,"2",68,"Paid Search","No Voucher"
1,108,"0",12,"3",53,"SEO (Organic)","No Voucher"
1,106,"0",10,"1",33,"No Advertisement","No Voucher"
1,133,"0",12,"4",61,"Online Display Ads","No Voucher"
0,131,"0",0,"1",59,"No Advertisement","No Voucher"
0,100,"0",0,"4",47,"Online Display Ads","No Voucher"
1,133,"0",21,"3",67,"SEO (Organic)","No Voucher"
1,123,"0",2,"1",50,"No Advertisement","No Voucher"
1,119,"0",13,"1",57,"No Advertisement","No Voucher"
0,95,"0",0,"1",27,"No Advertisement","No Voucher"
2,140,"0",20,"1",66,"No Advertisement","No Voucher"
0,153,"1",0,"1",65,"No Advertisement","Voucher Applied"
0,163,"0",0,"3",73,"SEO (Organic)","No Voucher"
0,146,"0",0,"1",68,"No Advertisement","No Voucher"
0,115,"1",0,"3",58,"SEO (Organic)","Voucher Applied"
1,137,"0",16,"1",65,"No Advertisement","No Voucher"
0,157,"1",0,"2",52,"Paid Search","Voucher Applied"
1,118,"0",6,"3",49,"SEO (Organic)","No Voucher"
0,132,"0",0,"3",49,"SEO (Organic)","No Voucher"
1,94,"0",4,"1",53,"No Advertisement","No Voucher"
2,78,"0",46,"4",32,"Online Display Ads","No Voucher"
1,144,"0",16,"1",74,"No Advertisement","No Voucher"
1,133,"1",23,"1",71,"No Advertisement","Voucher Applied"
1,165,"0",23,"1",69,"No Advertisement","No Voucher"
1,143,"0",13,"1",61,"No Advertisement","No Voucher"
1,91,"0",22,"1",56,"No Advertisement","No Voucher"
0,107,"0",0,"1",40,"No Advertisement","No Voucher"
0,129,"0",0,"4",66,"Online Display Ads","No Voucher"
1,138,"0",6,"1",65,"No Advertisement","No Voucher"
2,130,"0",8,"4",57,"Online Display Ads","No Voucher"
3,139,"0",3,"1",65,"No Advertisement","No Voucher"
1,76,"0",21,"2",30,"Paid Search","No Voucher"
2,149,"1",72,"3",84,"SEO (Organic)","Voucher Applied"
1,61,"0",1,"3",37,"SEO (Organic)","No Voucher"
1,123,"0",9,"2",60,"Paid Search","No Voucher"
0,154,"0",0,"4",58,"Online Display Ads","No Voucher"
1,148,"0",5,"3",62,"SEO (Organic)","No Voucher"
0,35,"0",0,"3",46,"SEO (Organic)","No Voucher"
1,107,"0",10,"1",58,"No Advertisement","No Voucher"
1,145,"0",29,"4",81,"Online Display Ads","No Voucher"
1,95,"0",11,"4",32,"Online Display Ads","No Voucher"
1,104,"0",5,"2",54,"Paid Search","No Voucher"
1,118,"0",20,"3",60,"SEO (Organic)","No Voucher"
0,85,"1",0,"3",47,"SEO (Organic)","Voucher Applied"
1,138,"0",12,"1",49,"No Advertisement","No Voucher"
0,134,"1",0,"1",45,"No Advertisement","Voucher Applied"
1,116,"0",9,"3",50,"SEO (Organic)","No Voucher"
0,140,"0",0,"1",54,"No Advertisement","No Voucher"
2,120,"0",16,"1",55,"No Advertisement","No Voucher"
0,102,"1",0,"4",52,"Online Display Ads","Voucher Applied"
0,131,"0",0,"2",56,"Paid Search","No Voucher"
0,136,"0",0,"4",71,"Online Display Ads","No Voucher"
0,100,"0",0,"3",20,"SEO (Organic)","No Voucher"
1,132,"0",3,"1",64,"No Advertisement","No Voucher"
0,101,"0",0,"1",41,"No Advertisement","No Voucher"
1,106,"0",15,"1",37,"No Advertisement","No Voucher"
0,102,"0",0,"3",49,"SEO (Organic)","No Voucher"
0,124,"1",0,"1",62,"No Advertisement","Voucher Applied"
1,148,"0",16,"4",72,"Online Display Ads","No Voucher"
1,101,"0",4,"1",46,"No Advertisement","No Voucher"
1,122,"0",15,"2",49,"Paid Search","No Voucher"
1,115,"0",7,"2",50,"Paid Search","No Voucher"
0,151,"0",0,"2",58,"Paid Search","No Voucher"
2,155,"0",40,"2",79,"Paid Search","No Voucher"
0,123,"0",0,"2",76,"Paid Search","No Voucher"
1,152,"1",8,"4",62,"Online Display Ads","Voucher Applied"
0,100,"0",0,"3",33,"SEO (Organic)","No Voucher"
1,143,"1",7,"1",69,"No Advertisement","Voucher Applied"
1,117,"0",30,"1",60,"No Advertisement","No Voucher"
0,120,"1",0,"3",38,"SEO (Organic)","Voucher Applied"
0,120,"0",0,"2",69,"Paid Search","No Voucher"
0,128,"0",0,"3",60,"SEO (Organic)","No Voucher"
1,65,"0",12,"1",30,"No Advertisement","No Voucher"
2,130,"0",12,"2",56,"Paid Search","No Voucher"
1,139,"0",7,"1",49,"No Advertisement","No Voucher"
0,121,"0",0,"2",50,"Paid Search","No Voucher"
0,129,"0",0,"4",63,"Online Display Ads","No Voucher"
0,134,"1",0,"1",45,"No Advertisement","Voucher Applied"
2,123,"0",32,"2",45,"Paid Search","No Voucher"
0,96,"0",0,"4",47,"Online Display Ads","No Voucher"
0,127,"0",0,"1",48,"No Advertisement","No Voucher"
1,118,"0",17,"3",52,"SEO (Organic)","No Voucher"
2,110,"1",10,"1",44,"No Advertisement","Voucher Applied"
0,121,"0",0,"3",59,"SEO (Organic)","No Voucher"
0,118,"0",0,"1",45,"No Advertisement","No Voucher"
0,91,"1",0,"1",29,"No Advertisement","Voucher Applied"
1,161,"0",9,"1",73,"No Advertisement","No Voucher"
1,129,"1",8,"4",56,"Online Display Ads","Voucher Applied"
1,136,"0",4,"2",54,"Paid Search","No Voucher"
0,130,"0",0,"3",57,"SEO (Organic)","No Voucher"
1,130,"0",5,"1",55,"No Advertisement","No Voucher"
0,137,"0",0,"3",44,"SEO (Organic)","No Voucher"
1,133,"0",3,"4",53,"Online Display Ads","No Voucher"
1,141,"0",4,"4",61,"Online Display Ads","No Voucher"
0,127,"0",0,"1",55,"No Advertisement","No Voucher"
0,145,"0",0,"3",69,"SEO (Organic)","No Voucher"
1,151,"1",9,"1",70,"No Advertisement","Voucher Applied"
1,131,"0",10,"4",40,"Online Display Ads","No Voucher"
1,111,"0",21,"1",32,"No Advertisement","No Voucher"
1,151,"0",4,"3",59,"SEO (Organic)","No Voucher"
0,81,"0",0,"1",39,"No Advertisement","No Voucher"
2,39,"0",26,"1",41,"No Advertisement","No Voucher"
0,144,"0",0,"2",57,"Paid Search","No Voucher"
1,167,"0",12,"1",82,"No Advertisement","No Voucher"
1,139,"0",35,"1",75,"No Advertisement","No Voucher"
1,134,"0",5,"1",56,"No Advertisement","No Voucher"
0,143,"0",0,"4",74,"Online Display Ads","No Voucher"
0,116,"0",0,"3",62,"SEO (Organic)","No Voucher"
2,101,"0",6,"1",49,"No Advertisement","No Voucher"
2,112,"0",28,"2",58,"Paid Search","No Voucher"
0,167,"1",0,"1",66,"No Advertisement","Voucher Applied"
1,97,"0",8,"1",55,"No Advertisement","No Voucher"
0,123,"0",0,"2",57,"Paid Search","No Voucher"
0,123,"0",0,"4",43,"Online Display Ads","No Voucher"
1,142,"0",25,"3",74,"SEO (Organic)","No Voucher"
1,105,"0",21,"3",37,"SEO (Organic)","No Voucher"
0,132,"0",0,"4",60,"Online Display Ads","No Voucher"
1,163,"0",31,"2",87,"Paid Search","No Voucher"
0,138,"0",0,"4",45,"Online Display Ads","No Voucher"
3,148,"0",39,"1",69,"No Advertisement","No Voucher"
0,124,"0",0,"1",68,"No Advertisement","No Voucher"
2,133,"0",6,"1",62,"No Advertisement","No Voucher"
0,127,"1",0,"4",45,"Online Display Ads","Voucher Applied"
1,108,"0",13,"1",58,"No Advertisement","No Voucher"
0,90,"0",0,"4",38,"Online Display Ads","No Voucher"
1,116,"0",21,"1",45,"No Advertisement","No Voucher"
2,89,"0",34,"3",51,"SEO (Organic)","No Voucher"
1,104,"0",15,"2",40,"Paid Search","No Voucher"
0,134,"0",0,"3",62,"SEO (Organic)","No Voucher"
1,141,"0",11,"4",71,"Online Display Ads","No Voucher"
1,141,"0",8,"1",62,"No Advertisement","No Voucher"
0,121,"1",0,"1",53,"No Advertisement","Voucher Applied"
2,91,"0",22,"3",47,"SEO (Organic)","No Voucher"
1,136,"1",7,"2",58,"Paid Search","Voucher Applied"
0,125,"0",0,"1",56,"No Advertisement","No Voucher"
0,154,"0",0,"3",64,"SEO (Organic)","No Voucher"
2,141,"0",4,"1",59,"No Advertisement","No Voucher"
1,100,"0",11,"1",50,"No Advertisement","No Voucher"
1,136,"0",2,"2",68,"Paid Search","No Voucher"
0,142,"1",0,"1",60,"No Advertisement","Voucher Applied"
0,136,"0",0,"1",51,"No Advertisement","No Voucher"
1,102,"1",5,"1",52,"No Advertisement","Voucher Applied"
1,82,"0",17,"2",32,"Paid Search","No Voucher"
2,62,"1",20,"3",40,"SEO (Organic)","Voucher Applied"
0,116,"0",0,"1",67,"No Advertisement","No Voucher"
0,141,"0",0,"3",61,"SEO (Organic)","No Voucher"
2,126,"1",8,"4",59,"Online Display Ads","Voucher Applied"
0,102,"0",0,"1",30,"No Advertisement","No Voucher"
0,122,"0",0,"2",58,"Paid Search","No Voucher"
0,106,"0",0,"1",58,"No Advertisement","No Voucher"
1,125,"0",26,"2",51,"Paid Search","No Voucher"
2,64,"0",2,"4",36,"Online Display Ads","No Voucher"
1,111,"1",22,"2",33,"Paid Search","Voucher Applied"
2,135,"0",24,"3",46,"SEO (Organic)","No Voucher"
0,137,"1",0,"1",46,"No Advertisement","Voucher Applied"
1,128,"0",3,"1",56,"No Advertisement","No Voucher"
0,161,"0",0,"2",54,"Paid Search","No Voucher"
2,147,"0",24,"1",55,"No Advertisement","No Voucher"
0,145,"0",0,"2",52,"Paid Search","No Voucher"
0,128,"0",0,"1",72,"No Advertisement","No Voucher"
3,119,"0",42,"4",49,"Online Display Ads","No Voucher"
0,85,"0",0,"1",36,"No Advertisement","No Voucher"
2,123,"0",72,"1",75,"No Advertisement","No Voucher"
0,119,"1",0,"3",63,"SEO (Organic)","Voucher Applied"
0,96,"0",0,"2",34,"Paid Search","No Voucher"
5,123,"0",50,"3",47,"SEO (Organic)","No Voucher"
1,103,"0",18,"1",62,"No Advertisement","No Voucher"
2,152,"0",38,"1",61,"No Advertisement","No Voucher"
1,125,"0",9,"1",49,"No Advertisement","No Voucher"
0,123,"0",0,"1",58,"No Advertisement","No Voucher"
0,103,"1",0,"1",49,"No Advertisement","Voucher Applied"
1,97,"0",20,"4",39,"Online Display Ads","No Voucher"
0,100,"0",0,"4",60,"Online Display Ads","No Voucher"
2,130,"0",12,"1",65,"No Advertisement","No Voucher"
1,162,"0",18,"2",87,"Paid Search","No Voucher"
1,134,"0",20,"4",64,"Online Display Ads","No Voucher"
1,93,"0",7,"2",52,"Paid Search","No Voucher"
0,126,"0",0,"3",51,"SEO (Organic)","No Voucher"
1,152,"0",1,"4",69,"Online Display Ads","No Voucher"
1,57,"1",2,"4",34,"Online Display Ads","Voucher Applied"
1,76,"0",18,"1",50,"No Advertisement","No Voucher"
1,136,"0",3,"1",58,"No Advertisement","No Voucher"
1,151,"0",11,"4",69,"Online Display Ads","No Voucher"
0,144,"0",0,"2",57,"Paid Search","No Voucher"
0,113,"0",0,"3",41,"SEO (Organic)","No Voucher"
1,121,"0",21,"4",46,"Online Display Ads","No Voucher"
1,119,"0",7,"2",63,"Paid Search","No Voucher"
1,142,"1",12,"2",53,"Paid Search","Voucher Applied"
0,142,"0",0,"4",62,"Online Display Ads","No Voucher"
0,111,"0",0,"1",38,"No Advertisement","No Voucher"
0,133,"0",0,"1",57,"No Advertisement","No Voucher"
1,134,"0",22,"3",70,"SEO (Organic)","No Voucher"
0,136,"0",0,"4",59,"Online Display Ads","No Voucher"
0,118,"0",0,"1",60,"No Advertisement","No Voucher"
1,155,"0",16,"1",76,"No Advertisement","No Voucher"
1,161,"0",7,"1",71,"No Advertisement","No Voucher"
1,143,"0",12,"3",67,"SEO (Organic)","No Voucher"
1,156,"0",29,"3",87,"SEO (Organic)","No Voucher"
0,160,"0",0,"1",83,"No Advertisement","No Voucher"
1,121,"0",15,"2",51,"Paid Search","No Voucher"
1,121,"0",2,"1",52,"No Advertisement","No Voucher"
0,160,"0",0,"2",92,"Paid Search","No Voucher"
1,101,"0",33,"3",61,"SEO (Organic)","No Voucher"
1,120,"0",10,"3",57,"SEO (Organic)","No Voucher"
1,153,"0",1,"1",67,"No Advertisement","No Voucher"
1,98,"0",37,"1",27,"No Advertisement","No Voucher"
1,135,"0",3,"3",59,"SEO (Organic)","No Voucher"
1,160,"1",2,"3",71,"SEO (Organic)","Voucher Applied"
2,127,"0",10,"4",59,"Online Display Ads","No Voucher"
1,101,"0",17,"3",57,"SEO (Organic)","No Voucher"
1,125,"0",12,"2",63,"Paid Search","No Voucher"
1,75,"1",18,"2",36,"Paid Search","Voucher Applied"
2,130,"0",40,"2",59,"Paid Search","No Voucher"
0,101,"0",0,"2",55,"Paid Search","No Voucher"
1,148,"0",6,"4",63,"Online Display Ads","No Voucher"
2,91,"0",58,"1",27,"No Advertisement","No Voucher"
0,141,"1",0,"1",59,"No Advertisement","Voucher Applied"
1,147,"0",8,"1",75,"No Advertisement","No Voucher"
0,117,"0",0,"1",59,"No Advertisement","No Voucher"
0,139,"0",0,"2",63,"Paid Search","No Voucher"
0,115,"1",0,"3",60,"SEO (Organic)","Voucher Applied"
1,58,"0",16,"1",25,"No Advertisement","No Voucher"
0,136,"0",0,"2",55,"Paid Search","No Voucher"
0,168,"0",0,"1",77,"No Advertisement","No Voucher"
0,132,"0",0,"1",70,"No Advertisement","No Voucher"
0,118,"0",0,"1",55,"No Advertisement","No Voucher"
1,143,"0",3,"1",61,"No Advertisement","No Voucher"
0,131,"1",0,"1",73,"No Advertisement","Voucher Applied"
1,101,"0",36,"1",68,"No Advertisement","No Voucher"
0,122,"1",0,"1",66,"No Advertisement","Voucher Applied"
0,103,"0",0,"3",55,"SEO (Organic)","No Voucher"
1,103,"0",6,"2",46,"Paid Search","No Voucher"
