"number_past_order","time_web","voucher","past_spend","ad_channel","revenue"
0,121,"0",0,"4",52
0,159,"0",10.1047995139733,"4",58
0,117,"0",0,"1",55
0,105,"0",0,"3",53
1,117,"0",3,"1",49
1,136,"0",8,"1",57
0,158,"0",0,"1",60
0,81,"0",0,"1",40
1,114,"1",18,"1",44
0,115,"1",0,"3",66
1,134,"0",7,"2",55
1,142,"1",20,"1",46
2,129,"1",10.1047995139733,"3",49
0,162,"0",0,"2",95
2,163,"0",20,"1",63
2,117,"0",8,"3",53
1,144,"0",3,"1",65
0,119,"0",0,"3",38
0,84,"0",0,"1",48
0,46,"1",0,"1",33
2,102,"0",4,"1",51
1,95,"0",14,"2",54
0,84,"0",0,"1",46
1,94,"0",21,"2",37
1,143,"0",9,"1",58
0,115,"0",0,"3",57
1,143,"0",2,"2",65
3,125,"0",36,"1",54
1,141,"0",9,"2",58
2,106,"1",18,"1",62
2,132,"0",18,"2",63
1,125,"0",8,"2",58
1,130,"1",8,"2",48
1,156,"0",42,"4",85
0,132,"0",0,"1",47
1,117,"0",16,"3",59
1,139,"0",2,"4",61
0,141,"0",0,"1",52
0,117,"0",0,"1",55
1,126,"0",21,"3",61
1,128,"0",5,"3",57
1,93,"0",27,"4",40
1,98,"0",14,"1",36
1,130,"0",7,"4",57
0,161,"0",0,"2",76
1,157,"0",2,"2",67
0.772055847834884,75,"0",30,"4",48
0,131,"0",0,"1",64
0,119,"0",0,"2",44
0,150,"0",0,"4",64
1,135,"0",21,"4",68
1,127,"0",24,"4",73
0,107,"0",0,"1",44
2,101,"0",32,"3",38
1,118,"0",7,"3",55
1,119,"0",15,"2",65
1,156,"0",12,"1",73
1,132,"0",3,"4",69
1,123,"0",18,"1",60
0,124,"0",0,"3",41
1,122.344953016065,"0",21,"1",55
2,99,"0",12,"1",48
1,116,"0",13,"1",48
1,121,"0",8,"3",46
1,144,"1",2,"1",72
1,107,"0",17,"1",40
1,143,"1",9,"2",68
1,119,"0",14,"3",61
1,121,"0",28,"2",45
0,148,"0",0,"1",62
0,70,"0",0,"1",57
0,123,"0",0,"4",66
1,164,"0",28,"1",92
1,97,"0",20,"1",47
1,123,"0",7,"1",64
0,136,"0",0,"2",59
2,96,"0",46,"2",56
1,98,"0",2,"1",53
1,120,"0",26,"4",44
1,112,"0",9,"2",45
1,120,"0",3,"2",57
1,146,"0",18,"1",58
0,105,"1",0,"1",31
1,155,"0",33,"1",79
2,150,"0",54,"2",71
0,84,"0",10.1047995139733,"3",48
0,147,"0",0,"4",64
0,98,"0",0,"3",44
1,100,"0",22,"1",36
0,146,"0",0,"1",70
0,123,"0",0,"4",54
0,137,"0",0,"4",55
0,159,"0",0,"4",71
1,117,"0",3,"3",58
0,137,"0",0,"1",68
1,119,"0",23,"1",65
0,132,"1",10.1047995139733,"3",68
1,140,"0",1,"1",57
0,175,"0",0,"1",82
1,73,"0",15,"2",29
1,138,"0",7,"3",60
1,159,"0",9,"3",72
0,142,"0",0,"2",73
0,126,"0",0,"1",54
1,63,"0",11,"3",45
0,138,"0",0,"1",74
1,136,"0",3,"3",59
1,130,"1",5,"1",58
0,99,"0",0,"3",55
2,144,"0",48,"4",60
1,144,"0",10,"1",71
1,137,"0",6,"1",61
0,128,"0",0,"3",67
1,134,"0",11,"1",55
3,123,"0",9,"1",61
1,130,"1",38,"4",82
0,150,"0",0,"2",57
2,100,"0",20,"4",55
2,117,"0",20,"4",45
2,139,"0",6,"1",67
0,117,"0",0,"2",45
3,136,"0",33,"1",57
1,152,"1",5,"3",64
1,106,"0",9,"3",51
1,152,"0",18,"3",78
1,152,"0",11,"1",64
0,142,"1",0,"4",62
0,52,"0",0,"2",44
2,135,"0",42,"2",70
1,140,"0",11,"1",49
1,128,"0",6,"1",59
0,157,"0",0,"3",88
1,98,"0",19,"1",30
0.772055847834884,141,"0",9,"3",59
1,125,"0",23,"1",48
1,145,"0",11,"2",58
0,123,"0",0,"4",48
1,142,"0",3,"1",62
2,155,"0",10,"3",75
1,129,"1",2,"2",58
2,81,"1",16,"2",36
1,106,"0",5,"1",51
1,101,"0",12,"2",58
0.772055847834884,114,"0",0,"1",42
0,123,"0",0,"1",60
1,75,"0",11,"1",27
1,87,"0",20,"2",32
1,143,"1",3,"1",74
0,100,"0",0,"1",53
0,111,"0",0,"2",46
2,146,"0",4,"3",63
1,145,"0",19,"1",71
1,123,"0",16,"2",48
0,89,"0",0,"1",52
0,97,"0",0,"1",28
0,128,"0",0,"1",63
1,108,"0",12,"4",58
0,122,"0",0,"2",68
1,108,"0",12,"3",53
0,122.344953016065,"0",0,"1",53
1,106,"0",10,"1",33
1,133,"0",12,"4",61
0,131,"0",0,"1",59
0,100,"0",0,"4",47
1,133,"0",21,"3",67
1,123,"0",2,"1",50
1,119,"0",13,"1",57
0,95,"0",0,"1",27
2,140,"0",20,"1",66
0,153,"1",0,"1",65
0,163,"0",0,"3",73
0,146,"0",0,"1",68
0,115,"1",0,"3",58
1,137,"0",16,"1",65
0.772055847834884,86,"0",0,"4",34
0,157,"1",0,"2",52
1,118,"0",6,"3",49
0,132,"0",0,"3",49
1,94,"0",4,"1",53
2,78,"0",46,"4",32
1,144,"0",16,"1",74
1,133,"1",23,"1",71
1,165,"0",23,"1",69
1,128,"0",10.1047995139733,"1",65
1,143,"0",13,"1",61
1,91,"0",22,"1",56
0,107,"0",0,"1",40
0,129,"0",0,"4",66
1,138,"0",6,"1",65
2,130,"0",8,"4",57
3,139,"0",3,"1",65
1,76,"0",21,"2",30
2,149,"1",72,"3",84
1,61,"0",1,"3",37
1,123,"0",9,"2",60
0,154,"0",0,"4",58
1,148,"0",5,"3",62
0,35,"0",0,"3",46
1,107,"0",10,"1",58
1,145,"0",29,"4",81
1,95,"0",11,"4",32
1,104,"0",5,"2",54
1,118,"0",20,"3",60
0,85,"1",0,"3",47
1,138,"0",12,"1",49
0,134,"1",0,"1",45
1,116,"0",9,"3",50
0,140,"0",0,"1",54
2,120,"0",16,"1",55
0,102,"1",0,"4",52
0,131,"0",0,"2",56
0,136,"0",0,"4",71
0,100,"0",0,"3",20
1,132,"0",3,"1",64
0.772055847834884,174,"0",25,"1",67
0,101,"0",0,"1",41
1,106,"0",15,"1",37
0,102,"0",0,"3",49
0,124,"1",0,"1",62
1,148,"0",16,"4",72
1,101,"0",4,"1",46
1,122,"0",15,"2",49
1,115,"0",7,"2",50
0,151,"0",0,"2",58
2,155,"0",40,"2",79
0,123,"0",0,"2",76
1,152,"1",8,"4",62
0,100,"0",0,"3",33
1,143,"1",7,"1",69
1,117,"0",30,"1",60
0,120,"1",0,"3",38
0,120,"0",0,"2",69
0,128,"0",0,"3",60
1,65,"0",12,"1",30
2,130,"0",12,"2",56
1,139,"0",7,"1",49
0,121,"0",0,"2",50
0,129,"0",0,"4",63
0,134,"1",0,"1",45
2,123,"0",32,"2",45
0,96,"0",0,"4",47
0,127,"0",0,"1",48
1,118,"0",17,"3",52
2,110,"1",10,"1",44
0,121,"0",0,"3",59
0,118,"0",0,"1",45
0,91,"1",0,"1",29
2,129,"0",10,"4",59
1,161,"0",9,"1",73
1,129,"1",8,"4",56
1,136,"0",4,"2",54
0,130,"0",0,"3",57
1,130,"0",5,"1",55
0,137,"0",0,"3",44
0,102,"0",0,"3",54
1,133,"0",3,"4",53
1,141,"0",4,"4",61
0,127,"0",0,"1",55
0,145,"0",0,"3",69
1,151,"1",9,"1",70
1,131,"0",10,"4",40
1,111,"0",21,"1",32
1,151,"0",4,"3",59
0,81,"0",0,"1",39
2,39,"0",26,"1",41
0,144,"0",0,"2",57
1,167,"0",12,"1",82
1,139,"0",35,"1",75
1,134,"0",5,"1",56
0,143,"0",0,"4",74
0,116,"0",0,"3",62
2,101,"0",6,"1",49
2,112,"0",28,"2",58
0,167,"1",0,"1",66
1,122.344953016065,"0",30,"1",40
1,97,"0",8,"1",55
0,123,"0",0,"2",57
0,123,"0",0,"4",43
1,142,"0",25,"3",74
1,105,"0",21,"3",37
0,132,"0",0,"4",60
1,163,"0",31,"2",87
0,138,"0",0,"4",45
3,148,"0",39,"1",69
0,124,"0",0,"1",68
2,133,"0",6,"1",62
0,127,"1",0,"4",45
1,108,"0",13,"1",58
0,90,"0",0,"4",38
1,116,"0",21,"1",45
2,89,"0",34,"3",51
1,104,"0",15,"2",40
0,134,"0",0,"3",62
1,141,"0",11,"4",71
1,141,"0",8,"1",62
0,121,"1",0,"1",53
2,91,"0",22,"3",47
1,134,"0",16,"1",52
1,136,"1",7,"2",58
0,125,"0",0,"1",56
0,154,"0",0,"3",64
2,141,"0",4,"1",59
1,100,"0",11,"1",50
1,136,"0",2,"2",68
0,142,"1",0,"1",60
0,136,"0",0,"1",51
1,102,"1",5,"1",52
1,82,"0",17,"2",32
2,62,"1",20,"3",40
0,116,"0",0,"1",67
0,141,"0",0,"3",61
2,126,"1",8,"4",59
0,102,"0",0,"1",30
0,122,"0",0,"2",58
0,106,"0",0,"1",58
0,107,"0",0,"1",42
1,125,"0",26,"2",51
2,64,"0",2,"4",36
1,111,"1",22,"2",33
2,135,"0",24,"3",46
0,137,"1",0,"1",46
1,128,"0",3,"1",56
0,161,"0",0,"2",54
2,147,"0",24,"1",55
0,145,"0",0,"2",52
0,128,"0",0,"1",72
3,119,"0",42,"4",49
0,85,"0",0,"1",36
2,123,"0",72,"1",75
0,119,"1",0,"3",63
0,96,"0",0,"2",34
5,123,"0",50,"3",47
1,103,"0",18,"1",62
2,152,"0",38,"1",61
0.772055847834884,107,"0",0,"1",46
0,95,"1",0,"1",66
1,125,"0",9,"1",49
0,123,"0",0,"1",58
0,103,"1",0,"1",49
1,97,"0",20,"4",39
0,100,"0",0,"4",60
2,130,"0",12,"1",65
1,162,"0",18,"2",87
1,134,"0",20,"4",64
1,93,"0",7,"2",52
0,126,"0",0,"3",51
1,152,"0",1,"4",69
1,57,"1",2,"4",34
0,122.344953016065,"0",0,"1",46
0,85,"0",0,"1",46
1,76,"0",18,"1",50
1,136,"0",3,"1",58
1,151,"0",11,"4",69
0,144,"0",0,"2",57
0,113,"0",0,"3",41
1,121,"0",21,"4",46
1,119,"0",7,"2",63
1,142,"1",12,"2",53
0,142,"0",0,"4",62
0,111,"0",0,"1",38
0,133,"0",0,"1",57
1,134,"0",22,"3",70
0,143,"0",0,"3",75
0,136,"0",0,"4",59
0,118,"0",0,"1",60
0,129,"0",0,"3",63
1,155,"0",16,"1",76
1,161,"0",7,"1",71
1,143,"0",12,"3",67
1,156,"0",29,"3",87
0,160,"0",0,"1",83
1,121,"0",15,"2",51
1,121,"0",2,"1",52
0,160,"0",0,"2",92
1,101,"0",33,"3",61
1,120,"0",10,"3",57
1,153,"0",1,"1",67
1,98,"0",37,"1",27
1,135,"0",3,"3",59
1,160,"1",2,"3",71
2,127,"0",10,"4",59
1,101,"0",17,"3",57
1,125,"0",12,"2",63
1,75,"1",18,"2",36
2,130,"0",40,"2",59
0,101,"0",0,"2",55
1,148,"0",6,"4",63
1,144,"0",17,"1",77
0.772055847834884,150,"0",9,"1",75
2,91,"0",58,"1",27
0,141,"1",0,"1",59
1,147,"0",8,"1",75
0,117,"0",0,"1",59
0,139,"0",0,"2",63
0,115,"1",0,"3",60
1,58,"0",16,"1",25
0,136,"0",0,"2",55
0,168,"0",0,"1",77
0,132,"0",0,"1",70
0,118,"0",0,"1",55
1,143,"0",3,"1",61
0,131,"1",0,"1",73
1,101,"0",36,"1",68
0,122,"1",0,"1",66
0,103,"0",0,"3",55
1,103,"0",6,"2",46
1,133,"0",3,"1",58
0,139,"0",0,"1",69
0,146,"0",0,"3",41
2,99,"0",32,"4",53
0,126,"0",0,"4",55
2,134,"0",36,"1",69
0,128,"0",0,"3",53
1,151,"1",12,"2",80
2,153,"0",12,"1",65
2,130,"0",40,"1",32
1,111,"0",6,"2",60
3,149,"0",27,"3",69
2,129,"0",30,"4",53
1,127,"0",16,"1",47
1,122.344953016065,"0",34,"3",67
1,113,"0",11,"1",60
0,138,"0",0,"1",61
0,147,"0",0,"3",74
1,114,"0",38,"2",73
1,115,"0",14,"3",58
2,106,"0",12,"1",52
1,133,"1",11,"3",47
2,161,"0",2,"1",79
1,127,"0",1,"1",59
0,100,"0",0,"1",37
1,123,"0",1,"4",52
1,94,"1",33,"1",29
1,103,"0",2,"1",46
1,140,"1",29,"1",76
1,93,"0",5,"2",47
1,92,"0",10,"4",44
1,116,"0",6,"2",47
1,114,"1",1,"3",55
0,114,"0",0,"3",43
0,135,"0",0,"1",63
1,129,"0",20,"1",44
1,111,"0",2,"1",46
2,138,"0",52,"1",80
0,108,"0",0,"1",42
0,103,"1",0,"1",71
0,139,"0",0,"3",71
1,86,"0",21,"4",56
0,155,"0",0,"1",46
0,106,"0",0,"4",37
2,142,"0",12,"1",64
2,139,"0",28,"4",45
1,118,"1",19,"1",39
0,113,"0",0,"4",51
1,120,"0",6,"1",47
0,111,"0",0,"1",49
0,142,"0",0,"1",55
1,121,"0",5,"1",57
0,145,"0",0,"4",54
1,103,"0",16,"3",54
1,96,"0",5,"3",47
1,124,"1",13,"1",51
0,131,"0",0,"4",62
0,137,"0",0,"4",71
1,118,"0",4,"3",63
2,76,"0",22,"3",35
1,141,"0",28,"2",54
1,125,"0",19,"4",51
1,157,"0",20,"3",80
0,149,"0",0,"2",54
0,125,"1",0,"2",65
0,126,"0",0,"1",72
1,147,"0",15,"1",65
0,96,"0",0,"1",50
1,120,"1",10,"2",51
0,156,"0",0,"1",61
2,154,"1",8,"2",73
0,113,"0",0,"2",74
1,124,"0",9,"2",58
0,134,"1",0,"2",61
1,101,"0",20,"4",45
2,148,"0",18,"1",74
1,73,"0",3,"1",38
0,90,"0",10.1047995139733,"1",32
0,125,"0",0,"1",60
2,114,"0",36,"1",40
0,108,"0",0,"1",45
2,149,"0",26,"1",58
0,155,"0",0,"3",65
1,71,"1",21,"2",37
1,104,"0",4,"1",46
0,106,"1",0,"2",69
3,139,"1",21,"3",65
1,71,"0",9,"1",36
1,130,"0",10,"1",51
0,159,"0",0,"4",79
1,123,"0",15,"1",72
2,107,"1",4,"3",42
2,113,"0",6,"1",51
1,151,"0",13,"2",49
0,111,"0",0,"2",58
0,102,"0",0,"1",49
1,125,"0",7,"1",57
2,150,"0",40,"1",77
1,138,"0",6,"2",67
2,131,"0",28,"2",46
1,131,"0",3,"1",52
0,110,"0",0,"1",41
1,136,"1",12,"2",79
1,118,"0",22,"1",48
0,146,"1",0,"2",57
0,88,"0",0,"1",43
0,163,"0",0,"3",68
1,91,"0",11,"1",41
1,130,"0",4,"3",56
1,82,"0",29,"4",57
0,120,"0",0,"3",46
1,142,"0",15,"4",71
0,76,"0",0,"2",52
2,150,"0",16,"1",67
2,89,"1",36,"1",60
1,137,"0",14,"4",62
1,125,"0",18,"3",45
1,87,"0",9,"1",38
0,148,"1",0,"1",82
2,113,"0",44,"4",53
0,102,"0",0,"2",54
0,45,"0",0,"4",44
0,133,"1",0,"3",71
2,128,"0",22,"4",54
1,102,"0",26,"1",59
0,116,"0",0,"2",38
2,108,"0",16,"1",46
1,128,"0",6,"2",60
1,94,"0",17,"2",31
1,132,"0",27,"1",46
0,146,"0",0,"3",52
1,104,"0",34,"1",74
1,95,"0",32,"3",31
0,101,"0",0,"3",66
0,142,"1",0,"3",61
1,143,"1",9,"2",70
1,118,"0",2,"2",50
0,154,"0",0,"4",74
1,113,"0",20,"3",69
1,124,"1",8,"3",54
1,144,"0",13,"1",62
2,129,"0",22,"2",55
1,124,"0",15,"4",59
1,142,"0",20,"1",49
1,90,"0",3,"1",42
1,22,"1",5,"1",29
0,112,"1",10.1047995139733,"1",51
0,106,"0",0,"1",47
1,113,"0",3,"1",53
1,146,"0",2,"4",59
0,104,"0",0,"4",48
3,148,"0",51,"3",79
0,95,"0",0,"1",53
1,117,"0",1,"4",50
1,95,"0",26,"1",34
1,135,"0",3,"4",63
0,61,"0",0,"2",39
1,115,"1",5,"1",52
0,124,"0",0,"3",70
2,107,"0",14,"1",40
1,70,"1",19,"1",58
0,115,"1",0,"1",63
2,146,"0",26,"1",68
0,139,"0",0,"3",59
0.772055847834884,124,"0",12,"2",63
0,142,"0",0,"1",64
1,72,"0",12,"1",51
0,79,"0",0,"1",40
1,128,"0",20,"3",66
1,119,"0",6,"2",52
1,92,"0",3,"2",46
1,118,"0",10,"4",48
1,145,"0",22,"1",50
1,124,"0",20,"2",42
1,137,"0",35,"1",90
0,117,"0",0,"1",49
0,121,"1",0,"1",50
1,104,"0",7,"3",60
0,116,"0",0,"4",41
1,139,"0",33,"4",81
2,121,"1",32,"4",43
1,153,"0",4,"1",66
0,146,"0",0,"1",64
1,161,"1",2,"2",81
1,127,"0",16,"3",48
2,120,"1",34,"1",46
0,122,"0",0,"1",53
2,131,"0",40,"1",69
0,153,"0",0,"1",82
0,133,"0",0,"3",64
3,122,"0",63,"2",37
1,118,"0",18,"1",36
1,121,"0",13,"1",51
1,140,"0",2,"1",68
0,147,"0",0,"3",62
1,153,"1",5,"3",59
1,126,"0",15,"2",64
2,113,"0",40,"1",62
2,154,"0",16,"2",71
1,129,"0",16,"1",67
0,132,"0",0,"4",59
1,140,"0",16,"3",52
0,144,"0",0,"4",68
1,127,"0",10,"1",59
1,96,"0",25,"1",54
1,142,"0",1,"2",70
0,90,"0",0,"4",41
1,147,"0",2,"1",69
1,127,"0",4,"1",61
1,68,"0",6,"2",38
1,155,"1",5,"1",79
0,106,"0",0,"4",48
2,156,"0",14,"1",70
1,115,"0",2,"4",50
0,157,"0",0,"4",65
1,140,"0",19,"4",55
0,84,"0",0,"4",26
2,128,"0",42,"1",66
0,125,"0",0,"4",75
0,140,"1",0,"2",64
0,135,"1",0,"1",73
1,125,"0",3,"1",62
2,148,"1",58,"3",80
0,97,"0",0,"3",56
1,142,"0",14,"1",72
0.772055847834884,159,"0",14,"1",73
0,126,"0",0,"1",47
0,140,"0",0,"4",57
1,121,"0",27,"1",34
1,129,"0",27,"3",43
0,64,"0",0,"1",52
3,11,"0",42,"4",27
0,112,"0",0,"1",50
1,133,"0",4,"4",55
0,130,"0",0,"1",60
1,145,"1",14,"4",57
0,101,"0",0,"1",38
1,128,"0",3,"1",58
0,116,"0",0,"2",66
2,102,"0",12,"3",45
0,115,"0",0,"1",58
1,105,"1",6,"2",44
1,136,"0",13,"1",68
1,95,"1",24,"1",54
1,139,"0",19,"3",81
1,148,"0",9,"1",58
1,151,"0",6,"1",62
1,158,"0",22,"1",88
0,138,"0",0,"1",54
1,91,"0",11,"2",43
0,130,"0",0,"2",53
1,100,"0",9,"4",37
0,145,"1",0,"3",50
0,147,"0",0,"2",51
0,110,"0",0,"4",60
2,70,"0",42,"3",57
1,138,"1",1,"3",66
1,137,"1",21,"1",47
2,105,"0",28,"1",43
2,140,"0",42,"2",67
1,148,"0",6,"1",66
0,143,"0",0,"3",71
1,139,"0",20,"2",70
1,113,"1",8,"3",54
1,121,"0",3,"2",59
0,145,"0",0,"1",60
2,155,"1",18,"4",64
1,53,"0",20,"1",30
0,144,"0",0,"1",55
0,128,"0",0,"1",67
2,16,"0",8,"1",33
0,110,"0",0,"4",55
1,140,"0",2,"1",61
0,131,"0",0,"2",63
1,136,"0",19,"1",48
0,118,"0",0,"2",51
0,92,"0",0,"1",41
0,91,"0",0,"1",36
0,132,"0",0,"4",44
0,138,"0",0,"3",57
1,153,"0",14,"4",58
0,109,"0",0,"2",47
2,98,"1",16,"4",46
1,128,"0",6,"4",62
2,136,"1",14,"1",54
2,148,"0",32,"3",76
1,105,"0",34,"1",68
1,119,"0",13,"1",54
0,116,"0",0,"2",47
0,102,"1",0,"3",37
1,92,"0",15,"4",50
1,162,"1",14,"1",78
1,130,"0",4,"4",43
1,145,"0",3,"3",66
1,130,"0",4,"2",59
2,55,"0",10,"1",41
0,133,"0",0,"2",37
0,146,"0",0,"1",56
1,99,"0",14,"1",52
0,70,"0",0,"2",26
0,129,"0",0,"1",62
0,118,"0",0,"1",41
0,127,"0",0,"4",63
1,142,"0",6,"4",60
0,146,"0",10.1047995139733,"1",70
1,131,"0",15,"1",53
0,101,"0",0,"1",72
0,139,"0",0,"2",67
1,118,"1",8,"1",52
2,139,"0",44,"2",50
0,89,"0",0,"2",33
1,67,"0",9,"3",37
1,141,"0",4,"3",66
1,105,"0",8,"1",51
0,111,"1",0,"1",29
0,143,"1",0,"1",79
1,131,"0",6,"4",52
0,104,"0",0,"1",56
0,117,"0",0,"1",45
1,114,"1",19,"1",26
2,152,"0",12,"1",57
1,87,"0",12,"1",46
0,84,"1",0,"1",39
1,149,"0",13,"3",67
0,157,"0",0,"1",70
1,159,"0",7,"3",68
0,110,"0",0,"3",53
1,154,"0",15,"1",73
1,112,"0",5,"4",52
1,123,"0",6,"3",60
2,113,"0",32,"3",43
2,141,"0",18,"3",68
1,163,"0",18,"1",67
1,108,"0",5,"1",47
1,112,"0",6,"1",55
0,121,"1",0,"1",64
2,132,"0",12,"3",57
0,168,"0",0,"2",7
0,144,"0",0,"2",54
1,100,"0",18,"2",48
2,144,"0",8,"1",71
1,111,"0",5,"1",49
0,139,"0",0,"1",73
1,100,"1",10,"1",46
2,117,"0",52,"3",64
1,143,"0",2,"2",65
0,152,"0",0,"3",50
0,156,"1",0,"1",59
0,123,"0",0,"3",52
2,150,"0",32,"2",49
1,132,"0",16,"4",42
1,153,"0",12,"3",75
0,117,"0",0,"4",51
0,131,"0",0,"1",60
1,80,"0",13,"2",47
1,140,"0",16,"1",71
0,137,"0",0,"2",61
1,119,"0",9,"1",45
0.772055847834884,151,"0",2,"3",61
1,106,"0",11,"1",44
1,123,"0",26,"1",46
0,124,"0",0,"1",34
1,104,"0",7,"1",43
2,148,"0",28,"4",54
0,130,"0",0,"2",55
0,129,"0",0,"2",63
1,117,"1",24,"2",37
2,134,"0",4,"4",58
2,122,"0",46,"1",66
0,145,"0",0,"2",64
0.772055847834884,157,"1",0,"2",74
0,165,"0",0,"1",80
1,133,"1",2,"4",58
2,81,"0",18,"3",37
1,122.344953016065,"1",9,"4",55
2,125,"0",22,"1",49
1,149,"0",14,"1",68
1,104,"0",6,"4",47
0,153,"0",0,"1",77
1,109,"0",2,"3",49
0,146,"0",0,"4",90
0,126,"0",0,"3",50
1,156,"0",12,"1",72
0,138,"0",0,"2",72
0,134,"1",0,"4",66
0,135,"0",0,"2",56
1,158,"0",5,"4",64
1,143,"0",10,"1",71
0,106,"1",0,"3",73
0,147,"0",0,"1",58
0.772055847834884,111,"0",18,"4",37
0,115,"0",0,"3",48
1,141,"0",10,"4",52
0,120,"0",0,"3",57
1,111,"0",27,"1",35
1,135,"0",7,"2",59
1,116,"0",27,"2",52
0,105,"0",0,"1",30
1,125,"0",6,"3",57
2,95,"0",34,"2",35
0,120,"1",0,"4",46
0,88,"0",0,"1",50
1,113,"0",34,"4",20
0,146,"0",0,"1",75
2,136,"0",26,"3",50
0.772055847834884,140,"0",24,"1",50
0,142,"0",0,"1",67
2,122,"0",2,"1",54
2,119,"0",38,"3",61
1,135,"0",1,"2",59
0,147,"0",0,"3",52
1,114,"0",6,"1",45
0,122.344953016065,"0",10.1047995139733,"1",36
0,162,"0",0,"1",77
2,101,"0",6,"2",41
1,105,"0",2,"2",48
1,101,"0",9,"3",43
1,166,"0",4,"1",73
0,122.344953016065,"0",0,"2",55
0,143,"0",0,"1",54
2,77,"0",54,"1",20
1,121,"1",12,"2",42
1,123,"0",15,"2",66
1,117,"0",10,"4",35
2,181,"0",66,"1",100
1,130,"0",47,"3",34
0,135,"0",0,"3",62
1,97,"0",13,"3",44
0,121,"0",0,"1",49
1,141,"0",5,"3",55
1,131,"0",3,"1",46
0,106,"0",10.1047995139733,"3",57
1,90,"0",1,"1",41
0,108,"0",0,"3",61
1,118,"1",9,"2",48
2,123,"0",10.1047995139733,"4",50
0,152,"0",0,"2",76
2,128,"0",44,"1",58
2,148,"0",34,"1",64
0,72,"0",0,"1",65
1,136,"1",9,"1",56
0,147,"0",0,"1",76
1,105,"0",21,"2",57
1,66,"0",15,"1",40
1,73,"0",29,"1",28
0,167,"0",0,"2",59
1,48,"0",8,"4",41
0,118,"0",0,"3",44
1,107,"0",4,"1",52
0,143,"0",0,"3",74
0,119,"0",0,"1",51
0,130,"0",0,"1",58
0,120,"0",0,"3",68
1,76,"1",30,"1",26
1,85,"0",19,"1",39
1,131,"0",7,"2",47
0,106,"1",0,"2",49
2,150,"0",16,"1",65
2,123,"0",42,"3",40
0,135,"0",0,"1",61
1,164,"0",2,"4",83
1,136,"1",15,"1",38
0,98,"0",0,"2",47
0.772055847834884,130,"1",0,"1",50
1,146,"0",4,"4",63
2,91,"0",46,"4",29
1,110,"0",2,"1",57
0,139,"0",0,"3",46
1,120,"0",15,"2",59
1,136,"1",1,"1",62
0,133,"0",10.1047995139733,"1",57
0,128,"1",0,"3",67
1,103,"0",20,"3",56
1,162,"0",6,"1",75
1,158,"1",5,"4",77
0,129,"0",0,"3",60
1,99,"1",3,"4",48
